Name,Address,County,Phone,lat,lon
American Halal Meats,"2509 N. Broadway St. Louis, MO 63102",St. Louis,(314) 809-6868,38.65126,-90.19025
Brown's Smokehouse Meats,"48 Buckeye Lane Elsberry, MO 63343",Lincoln,(573) 384-5284,39.11443,-90.96148
Center Locker Service,"108 S. Public PO Box 290 Center, MO 63436",Ralls,(573) 267-3343,39.508866,-91.5293127
"Cloud’s Meats, Inc.","2013 South Paradise Lane Carthage, MO 64836",Jasper,(417) 358-5855,37.15325,-94.34569
Crane’s Meat Processing,"11657 E Englewood Rd Ashland, MO 65010",Boone,(573) 657-2501,38.81768,-92.16116
Crispy Edge,"4168 Juniata St. St. Louis, MO 63116",St. Louis,(314) 310-3343,38.60194,-90.25803
Dittmer Meat Packing Company,"9145 Ridge Rd. Dittmer, MO 63023",Jefferson,(636) 285-9090,38.31102,-90.68592
Four Quarters Processing,"P O Box 375 204 W Main Hwy 154 Perry, MO 63462",Ralls,(573) 565-2622,39.43106,-91.67536
Golden City Meats,"400 Vine St. Golden City, MO 64748",Barton,(417) 537-8560,37.39854,-94.09599
Hatfield's Smoked Meats,"7329 Gateway Dr Neosho, MO 64850",Newton,(417) 624-3765,36.96513,-94.42302
Hermann Wurst Haus,"234 E 1st Street Hermann, MO 65041",Gasconade,(573) 486-2266,38.70669,-91.43435
Hetherington Meat Processing,"803 N Hwy N Clinton, MO 64735",Henry,(660) 885-4409,38.47589,-93.81785
Holloway Distributing,"210 E Owen Puxico, MO 63960",Stoddard,(573) 222-6255,36.94889,-90.15921
Hook’s Butchery and Meat Market,"725 S Eagle Norwood, MO 65717",Wright,(417) 746-1969,37.0977717,-92.4183208
"J & H Backes Poultry, LLC","229 County Rd 402 Loose Creek, Mo 65054",Osage,(573) 897-2353,38.51051,-91.95231
Josephville Meat Processing,"1363 Josephville Rd. Wentzville, MO 63385",St. Charles,(636) 327-5455,38.84121,-90.79599
Kempf's Custom Butchering,"21612 Glenn Rd Sedalia, MO 65301",Pettis,(660) 826-2898,38.76264,-93.11
"Lyon Country Meats, LLC","4636 Hwy 185 New Haven, MO 63068",Franklin,(573) 459-6328,38.5122,-91.17366
Mary's Valley Meat Processing,"20 Brown Cemetary Rd. Steelville, MO 65565",Crawford,(573) 786-6328,37.96656,-91.24396
Reis Meat Processing,"2470 Hwy C Jackson, MO 63755",Cape Girardeau,(573) 833-6281,37.3673607,-89.639448
Shady Maples Farm,"17267 Hwy HH Versailles, MO 65084",Morgan,(573) 378-4387,38.51102,-92.74752
Shiner’s,"3100 South Elliot Aurora, MO 65605",Lawrence,(417) 678-0094,36.9438,-93.71823
Swiss Meat & Sausage Co.,"2056 Hwy 19 South Hermann, MO 65041",Gasconade,(573) 486-2086,38.56124,-91.47127
"The Butcher Shop, LLC","Box 177 Vienna, MO 65582",Maries,(573) 744-5888,38.18538,-91.94691
The Deep Freeze,"1010 South Westwood Blvd Poplar Bluff, MO 63901",Butler,(573) 785-2327,36.74709,-90.41076
The Meat Shop at Rock Ridge Farms,10415 State Hwy 25 Dexter MO 63841,Stoddard,(573) 891-2020,36.76734,-89.96442
Tom’s Slaughtering and Meat Processing,"2179 State Road A Montreal, MO 65591",Camden,(573) 346-5233,38.04452,-92.66651
Troyer's Meat Processing,"10329 Lawrence 1050 Stotts City, MO 65756",Lawrence,(417) 285-4565,37.12872,-93.97171
White Barn Processing,"36086 Monroe Rd 370 Monroe City, MO 63456",Monroe,(573) 735-1289,39.61468,-91.80717
Zimmerman Meat Processing,"4534 Hwy 17 Summersville, MO 65571",Texas,(417) 932-5557,37.1969137,-91.7151657
